date,matchday,home_team_id,away_team_id,home_score,away_score,winner
2025-12-03 20:15:00+00:00,14,10,8,3.0,1.0,HOME_TEAM
2025-12-04 20:00:00+00:00,14,9,11,1.0,1.0,DRAW
2025-12-06 12:30:00+00:00,15,2,16,2.0,1.0,HOME_TEAM
2025-12-06 15:00:00+00:00,15,13,8,0.0,0.0,DRAW
2025-12-06 15:00:00+00:00,15,18,7,3.0,0.0,HOME_TEAM
2025-12-06 15:00:00+00:00,15,12,4,3.0,0.0,HOME_TEAM
2025-12-06 15:00:00+00:00,15,20,15,2.0,1.0,HOME_TEAM
2025-12-06 15:00:00+00:00,15,5,14,2.0,0.0,HOME_TEAM
2025-12-06 17:30:00+00:00,15,10,1,3.0,3.0,DRAW
2025-12-07 14:00:00+00:00,15,3,11,1.0,1.0,DRAW
2025-12-07 16:30:00+00:00,15,19,17,1.0,2.0,AWAY_TEAM
2025-12-08 20:00:00+00:00,15,6,9,1.0,4.0,AWAY_TEAM
2025-12-13 15:00:00+00:00,16,8,18,2.0,0.0,HOME_TEAM
2025-12-13 15:00:00+00:00,16,1,3,2.0,0.0,HOME_TEAM
2025-12-13 17:30:00+00:00,16,15,19,2.0,3.0,AWAY_TEAM
2025-12-13 20:00:00+00:00,16,16,6,2.0,1.0,HOME_TEAM
2025-12-14 14:00:00+00:00,16,4,20,1.0,0.0,HOME_TEAM
2025-12-14 14:00:00+00:00,16,17,12,0.0,3.0,AWAY_TEAM
2025-12-14 14:00:00+00:00,16,7,5,3.0,0.0,HOME_TEAM
2025-12-14 14:00:00+00:00,16,11,2,2.0,3.0,AWAY_TEAM
2025-12-14 16:30:00+00:00,16,14,10,1.0,1.0,DRAW
2025-12-15 20:00:00+00:00,16,9,13,4.0,4.0,DRAW
2025-12-20 12:30:00+00:00,17,20,8,2.0,2.0,DRAW
2025-12-20 15:00:00+00:00,17,13,15,1.0,1.0,DRAW
2025-12-20 15:00:00+00:00,17,3,4,0.0,0.0,DRAW
2025-12-20 15:00:00+00:00,17,12,11,3.0,0.0,HOME_TEAM
2025-12-20 15:00:00+00:00,17,6,14,0.0,2.0,AWAY_TEAM
2025-12-20 17:30:00+00:00,17,5,1,1.0,2.0,AWAY_TEAM
2025-12-20 20:00:00+00:00,17,18,16,0.0,1.0,AWAY_TEAM
2025-12-20 20:00:00+00:00,17,10,17,4.0,1.0,HOME_TEAM
2025-12-21 16:30:00+00:00,17,2,9,2.0,1.0,HOME_TEAM
2025-12-22 20:00:00+00:00,17,19,7,1.0,0.0,HOME_TEAM
2025-12-26 20:00:00+00:00,18,9,20,1.0,0.0,HOME_TEAM
2025-12-27 12:30:00+00:00,18,7,12,1.0,2.0,AWAY_TEAM
